PLAYER_ID	GP	GS	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS
76001	256	53	3200.0	620	1236	0.501618	0	3	0.0	225	321	0.700934	283	563	846	85	71	69	247	484	1465
76002	505		11023.0	1769	4138	0.427501				1019	1400	0.727857	503	1124	4065	601	131	205	11	1120	4557
76003	1560	1476	57446.0	15837	28307	0.559472	1	18		6712	9304	0.72141	2975	9394	17440	5660	1160	3189	2527	4657	38387
51	586	336	15627.0	3514	7943	0.442402	474	1339	0.353995	1051	1161	0.905254	219	868	1087	2079	487	46	963	1106	8553
1505	236	145	4809.0	720	1726	0.417149	18	76	0.236842	372	529	0.703213	286	490	776	266	184	83	309	485	1830
949	830	704	28882.0	5434	11515	0.471906	154	519	0.296724	4006	4943	0.810439	1869	4370	6239	2109	820	638	2136	2324	15028
76005	319	40	5434.0	724	1472	0.491847	0	2		331	443	0.747178	374	637	1011	384	185	60	129	525	1779
76006	1		1.0	0	2	0.0				0	0	0.0			1	1				1	0
76007	56			203	855	0.237426				127	185	0.686486				37				171	533
203518	174	16	2778.0	305	789	0.386565	219	595	0.368067	95	108	0.879629	49	199	248	88	92	22	72	291	924
101165	30	0	235.0	34	92	0.369565	8	25	0.32	5	10	0.5	9	20	29	16	6	4	11	13	81
76008	28		220.0	14	63	0.222222				15	28	0.535714			15	23				43	43
76009	375	68	5982.0	514	1016	0.505905	7	13	0.538461	308	463	0.665226	581	944	1525	180	137	104	235	932	1343
76010	23		195.0	29	74	0.391891				19	29	0.655172			47	11				35	77
203112	337	60	5393.0	583	1314	0.443683	183	523	0.349904	293	386	0.759067	309	870	1179	217	140	135	219	665	1642
76011	988	744	27203.0	5709	11464	0.497993	2	15		2490	3160	0.787974	2015	4922	6937	4012	1289	808	2194	3214	13910
76012	487		12407.0	1682	4186	0.401815				872	1180	0.738983	364	844	2732	869	283	55		1591	4236
200801	73	8	547.0	79	148	0.533783	0	1	0.0	27	42	0.642857	36	48	84	14	18	5	26	51	185
